Epoch,LR,train_loss,train_y_mse,val_y_mse,train_cd,val_cd,z_logsig_mean,y_logsig_mean,Sec
1.00000,0.00005,544.17528,47.51112,32.79556,176.42851,131.74571,-4.17070,0.00000,188.22749
2.00000,0.00005,46.44904,38.38876,39.32511,151.97527,161.06581,-4.97211,0.00000,191.37377
3.00000,0.00005,54.82072,131.72553,128.25838,430.35840,415.22525,-5.39281,0.00000,181.95791
4.00000,0.00005,56.59863,50.67560,54.24339,193.99715,212.62497,-5.82492,0.00000,214.76890
5.00000,0.00005,36.23045,31.36955,31.53155,127.85445,131.73740,-6.06130,0.00000,247.45632
6.00000,0.00005,32.66354,29.80540,29.17229,122.72811,122.42934,-5.82317,0.00000,254.02890
7.00000,0.00005,29.60859,30.34902,30.46563,128.20741,129.68495,-5.72509,0.00000,253.20467
8.00000,0.00005,33.84475,32.31319,31.84215,128.58395,130.94830,-5.75909,0.00000,245.84304
9.00000,0.00005,33.14030,39.84566,43.62732,141.41344,157.07538,-5.83998,0.00000,254.69229
10.00000,0.00005,44.78871,26.80379,27.33892,113.94692,118.77741,-5.43749,0.00000,253.50304
11.00000,0.00005,37.69803,32.38668,33.46764,130.24150,138.04308,-5.04950,0.00000,241.06173
12.00000,0.00005,34.41502,32.54204,33.41069,124.56873,127.19664,-5.16505,0.00000,257.59039
13.00000,0.00005,29.16672,30.43590,31.66342,131.07152,139.22610,-2.68516,2.11589,252.24372
14.00000,0.00005,30.05566,34.30184,39.84624,140.90723,165.90437,0.03307,0.98135,245.06524
15.00000,0.00005,33.21082,25.76797,25.86874,108.04543,112.82349,1.46184,0.68635,255.04730
16.00000,0.00005,30.69578,23.40098,25.22747,104.38329,112.86702,1.09375,0.67165,245.33582
17.00000,0.00005,27.70897,35.27529,33.93993,144.25427,146.18352,0.93111,0.70975,247.73890
18.00000,0.00005,26.19595,22.14965,23.60018,100.59786,110.69062,0.85761,0.81710,250.48167
19.00000,0.00005,21.50611,20.47290,21.74451,95.55595,103.65738,0.76758,0.63055,241.70780
20.00000,0.00005,21.85855,20.90349,22.25225,95.39392,99.50546,0.76979,0.65505,244.22215
21.00000,0.00005,21.18541,21.42305,22.41767,96.18740,103.62733,0.08467,0.61451,242.09956
22.00000,0.00005,24.16910,23.83429,22.51375,101.87422,102.47018,-0.10256,0.58782,244.10991
23.00000,0.00005,24.30819,20.19642,21.54018,91.37901,96.89817,0.80526,0.43370,249.81287
24.00000,0.00005,20.28578,17.71457,19.62605,84.06195,91.74264,0.85467,0.59682,240.35246
25.00000,0.00005,21.16016,24.18230,20.88651,105.96089,98.60999,-0.23424,0.66507,247.94945
26.00000,0.00005,22.14067,20.19868,20.85242,89.42916,92.58482,-0.43559,0.49151,252.99939
27.00000,0.00005,19.51452,17.25407,18.96482,83.18168,91.70373,0.30409,0.57896,238.49730
